Sample ID/Group/Community,Master ID,Skeletal code,Skeletal element,Data type,14C date(s) that are newly published in this study,Published Study,Associated authors if this is a newly reported sample,Average Confidence Interval Date,Dating,Broad chronological / archaeological period,Analysis Label (grouping individuals of similar ancestry across diverse regions),Split Label  (grouping individuals of similar ancestry by site),Passed all analysis filters,Location,Country,Broad Geographic Region (Genetic clustering may sometimes differ),Latitude,Longitude,Gender,mtDNA haplogroup,Y chromosome haplogroup,Y chromosome determination strategy,"Whole genome average coverage across 1,150,639 targeted autosomal SNPs","Whole genome SNPs (number of 1,150,639 targeted autosomal SNPs covered by at least once sequence)",X-contamination point estimate from ANGSD on non-damage-restricted data if male and ≥200 SNPs,X-contamination Z-score from ANGSD on non-damage-restricted data if male and ≥200 SNPs,Library ID(s),UDG treatment by library (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),damage by library in sequences aligning to nuclear targets,mtDNA match rate to consensus by library (for all sequences and thus without damage restriction),"Assessment of data quality (notes in parentheses included if match rate to the mtDNA consensus sequence is <0.95 or X chromosome contamination estimate in males is significantly non-zero, or ratio of sequences matching Y and X chromosome is unexpected for a male or female)"
I0048,I0048,HAL25,tooth,separate nuclear and mtDNA target enrichment,previously published 14C date,"LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)",n/a (previously reported),7056,"5210-5002 calBCE (6153±33 BP, MAMS-21482)",N,LBK_EN,LBK_EN,Yes,Halberstadt-Sonntagsfeld,Germany,Europe,51.89583333,11.04666667,M,K1a,G2a2a1,manual,0.579,489640,..,..,"S2025.L1,S2025.L2","half,half","..,0.144","0.999,1",PASS
I2008,I2008,HAL07a,tooth,separate nuclear and mtDNA target enrichment,previously published 14C date,LipsonNature2017,n/a (previously reported),7052,"5212-4992 calBCE (6137±35 BP, KIA-40342)",N,LBK_EN,LBK_EN,Yes,Halberstadt-Sonntagsfeld,Germany,Europe,51.89583333,11.04666667,F,N1a1a1,n/a (female),n/a (female),0.113,121860,n/a (female),n/a (female),"S2008.L1,S2008.L2","half,half","..,0.121","0.998,1",PASS
I0046,I0046,HAL5,tooth,separate nuclear and mtDNA target enrichment,previously published 14C date,"LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)",n/a (previously reported),7051,"5211-4991 calBCE (6136±34 BP, MAMS-21479)",N,LBK_EN,LBK_EN,Yes,Halberstadt-Sonntagsfeld,Germany,Europe,51.89583333,11.04666667,F,T2c1,n/a (female),n/a (female),2.744,950914,n/a (female),n/a (female),"S2007.L1,S2007.L2","half,half","..,0.091","0.996,1",PASS
I0659,I0659,HAL2,tooth,separate nuclear and mtDNA target enrichment,previously published 14C date,"LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)",n/a (previously reported),7037,"5211-4963 calBCE (6130±40 BP, KIA-40350)",N,LBK_EN,LBK_EN,Yes,Halberstadt-Sonntagsfeld,Germany,Europe,51.89583333,11.04666667,M,N1a1a1a2,G2a2a1,manual,0.871,648193,..,..,"S2004.aL1,S2004.L2","half,half,half","..,0.066","..,0.997",PASS
I4628,I4628,ZVEJ27,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),7027,"5302-4852 calBCE (6145±80 BP, Ua-19883)",M / N,Latvia_HG,Latvia_HG,Yes,Zvejnieki,Latvia,Europe,56.2833,25.1333,M,U5a2d,R1b1a1a(xR1b1a1a2),manual,2.881,717447,..,..,S4628.E1.L1,half,0.059,0.994,PASS
I5069,I5069,KH55,petrous,separate nuclear and mtDNA target enrichment,"5198-4936 calBCE (6090±25 BP, PSUAMS-4326)",MathiesonNature2018,n/a (previously reported),7017,"5198-4936 calBCE (6090±25 BP, PSUAMS-4326)",N,LBK_EN,LBK_EN,Yes,Kleinhadersdorf Flur Marchleiten,Austria,Europe,48.663197,16.589687,F,N1a1,n/a (female),n/a (female),3.364,843684,n/a (female),n/a (female),S5069.E1.L1,half,0.117,0.994,PASS
I2014,I2014,HAL15a,tooth,separate nuclear and mtDNA target enrichment,previously published 14C date,LipsonNature2017,n/a (previously reported),6978,"5199-4857 calBCE (6081±30 BP, KIA-40344)",N,LBK_EN,LBK_EN,Yes,Halberstadt-Sonntagsfeld,Germany,Europe,51.89583333,11.04666667,M,N1a1a1a3,G2,manual,0.017,19344,..,..,S2014.L2,half,0.096,1,PASS
I0100,I0100,HAL4,tooth,separate nuclear and mtDNA target enrichment,previously published 14C date,"LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)",n/a (previously reported),6977,"5202-4852 calBCE (6080±32 BP, KIA-40341)",N,LBK_EN,LBK_EN,Yes,Halberstadt-Sonntagsfeld,Germany,Europe,51.89583333,11.04666667,F,N1a1a1a,n/a (female),n/a (female),6.915,982315,n/a (female),n/a (female),"S2006.L1,S0273.L1,S1227.L1",half,"..,..,0.033","0.999,0.995,0.997",PASS
I0821,I0821,HAL24,tooth,separate nuclear and mtDNA target enrichment,previously published 14C date,"LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)",n/a (previously reported),6976,"5201-4850 calBCE (6076±34 BP, KIA-40348)",N,LBK_EN,LBK_EN,Yes,Halberstadt-Sonntagsfeld,Germany,Europe,51.89583333,11.04666667,M,X2d1,G2a2a1,manual,0.908,629014,..,..,"S2024.L1,S2024.L2","half,half","..,0.096","1,0.999",PASS
I5206,I5206,SCH3,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),6950,5500-4500 BCE,N,LBK_EN,LBK_EN,Yes,Schletz,Austria,Europe,48.579752,16.46931,F,T2b,n/a (female),n/a (female),3.407,811457,n/a (female),n/a (female),S5206.E1.L1,half,0.063,1,PASS
I5205,I5205,SCH2,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),6950,5500-4500 BCE,N,LBK_EN,LBK_EN,Yes,Schletz,Austria,Europe,48.579752,16.46931,F,H,n/a (female),n/a (female),4.457,831792,n/a (female),n/a (female),S5205.E1.L1,half,0.072,1,PASS
I5204,I5204,SCH14/2,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),6950,5500-4500 BCE,N,LBK_EN,LBK_EN,Yes,Schletz,Austria,Europe,48.579752,16.46931,M,J1c2,G2a2b2a3,manual,4.769,850732,..,..,S5204.E1.L1,half,0.069,1,PASS (Xcontam=0.005)
I5208,I5208,SCH5,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),6950,5500-4500 BCE,N,LBK_EN,LBK_EN,Yes,Schletz,Austria,Europe,48.579752,16.46931,F,K1b1a,n/a (female),n/a (female),4.95,899049,n/a (female),n/a (female),S5208.E1.L1,half,0.056,1,PASS
I5207,I5207,SCH4,petrous,separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),6950,5500-4500 BCE,N,LBK_EN,LBK_EN,Yes,Schletz,Austria,Europe,48.579752,16.46931,M,H67,J2a,manual,4.447,924723,..,..,S5207.E1.L1,half,0.057,0.998,PASS (Xcontam=0.006)
I0434,I0434,"SVP HB 47, grave 17",bone (long bone),separate nuclear and mtDNA target enrichment,"5051-4860 calBCE (6070±25 BP, PSUAMS-4033)",MathiesonNature2015,n/a (previously reported),6906,"5051-4860 calBCE (6070±25 BP, PSUAMS-4033)",N,Khvalynsk_EN,Khvalynsk_EN,Yes,"Saratovo, Saratov oblast, Khvalynsk II",Russia,Forest / Steppe,52.22,48.1,M,U4a2 or U4d,Q1a,manual,0.053,61851,..,..,S0434.E1.L1,half,..,0.991,PASS
I0122,I0122,SVP35,bone (long bone),separate nuclear and mtDNA target enrichment,"4934-4780 calBCE (5960±25 BP, PSUAMS-4031)",MathiesonNature2015,n/a (previously reported),6807,"4934-4780 calBCE (5960±25 BP, PSUAMS-4031)",N,Khvalynsk_EN,Khvalynsk_EN,Yes,"Saratovo, Saratov oblast, Khvalynsk II",Russia,Forest / Steppe,52.22,48.1,M,H2a1,R1b1a,manual,0.723,569453,..,..,"S0122.E1.L2,S0122.E2.L1","plus,half","..,0.105","..,0.995",PASS
I4441,I4441,"ZVEJ22, burial 173",petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),6725,"4837-4713 calBCE (5900±30 BP, PSUAMS-2265)",M / N,Latvia_HG,Latvia_HG,Yes,Zvejnieki,Latvia,Europe,56.2833,25.1333,M,U5a1c,I2a2a1b,manual,3.521,747334,..,..,S4441.E1.L1,half,..,0.995,PASS (Xcontam=0.005)
I1670,I1670,SG11,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),6678,"4839-4617 calBCE (5870±40 BP, Poz-81107)",C / EN,Seh_Gabi_C,Seh_Gabi_C,Yes,Seh Gabi,Iran,Iran / Turan,34.5,47.96,F,U3a'c,n/a (female),n/a (female),0.132,141920,n/a (female),n/a (female),"S1670.E1.L2,S1670.E1.L3,S1670.E1.L1","half,half,half","0.136,0.125,0.108","0.913,0.962,0.958",QUESTIONABLE (mtcontam=0.913-0.962)
I1662,I1662,SG7,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),6672,"4831-4612 calBCE (5860±40 BP, Poz-81105)",C / EN,Seh_Gabi_C,Seh_Gabi_C,Yes,Seh Gabi,Iran,Iran / Turan,34.5,47.96,M,K1a12a,J,manual,0.906,607598,..,..,S1662.E1.L1,half,0.112,0.998,PASS (Xcontam=0.011)
I1958,I1958,"Tyumen1, Kurgan 1, Mergen 6 (building No. 21, burial 1)",petrous,separate nuclear and mtDNA target enrichment,"4723-4558 calBCE (5805±25 BP, PSUAMS-2359)",This study,"Sergey Mikhailovich Slepchenko, Anatoly Nikolaevich Bagashev, Dmitry Enshin",6591,"4723-4558 calBCE (5805±25 BP, PSUAMS-2359)",N,WSHG,Tyumen_HG,Yes,"Siberia, western, Tyumen Oblast",Russia,Forest / Steppe,56.03622222,69.33886111,F,U,n/a (female),n/a (female),0.027,31796,n/a (female),n/a (female),S1958.E1.L1,half,0.04,0.817,QUESTIONABLE (mtcontam=0.817)
I0433,I0433,"SVP HB 46, grave 1",bone (long bone),separate nuclear and mtDNA target enrichment,"4689-4543 calBCE (5760±25 BP, PSUAMS-4032)",MathiesonNature2015,n/a (previously reported),6566,"4689-4543 calBCE (5760±25 BP, PSUAMS-4032)",N,Khvalynsk_EN,Khvalynsk_EN,Yes,"Saratovo, Saratov oblast, Khvalynsk II",Russia,Forest / Steppe,52.22,48.1,M,U5a1i,R1a1,manual,0.476,431545,..,..,S0433.E1.L1,half,..,0.971,PASS
I1661,I1661,SG16,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),6544,"4696-4491 calBCE (5740±40 BP, Poz-81104)",C / EN,Seh_Gabi_C,Seh_Gabi_C,Yes,Seh Gabi,Iran,Iran / Turan,34.5,47.96,F,H29,n/a (female),n/a (female),2.61,837023,n/a (female),n/a (female),"S1661.E1.L1,S1661.E4.L1,S1661.E5.L1","half,half,half","0.107,0.105,0.108","0.997,0.988,0.996",PASS
Popovo2,Popovo2,Popovo2,..,separate nuclear and mtDNA target enrichment,no 14C date,MittnikNatureCommunications2018,n/a (previously reported),6250,7500-5000 BCE,N,EEHG,Popovo_HG,Yes,"Popovo, Archangelsk",Russia,Forest / Steppe,61.264,38.905,M,U4d,J,manual,0.064,66188,..,..,..,half,..,..,PASS
I4088,I4088,URZI16,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),6154,"4331-4076 calBCE (5380±25 BP, PSUAMS-1832)",C / EN,Romania_C,Romania_C,Yes,Urziceni,Romania,Europe,47.7467,22.395,F,K2a,n/a (female),n/a (female),1.925,699220,n/a (female),n/a (female),S4088.E1.L1,half,0.114,0.942,QUESTIONABLE (mtcontam=0.942)
I1634,I1634,AR1/44,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),6145,"4330-4060 calBCE (5366±31 BP, OxA-19331)",C / EN,Armenia_C,Armenia_C,Yes,Areni 1,Armenia,West Asia,39.73,45.2,M,H2a1,L1a1,manual,1.833,751435,..,..,S1634.E1.L1,half,0.066,0.999,PASS (Xcontam=0.005)
I1631,I1631,AR1/43C,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),6100,"4250-4050 calBCE (5323±30 BP, OxA-19332)",C / EN,Armenia_C,Armenia_C,Yes,Areni 1,Armenia,West Asia,39.73,45.2,F,K1a8,n/a (female),n/a (female),3.202,816520,n/a (female),n/a (female),S1631.E1.L1,half,0.055,0.997,PASS
I1632,I1632,AR1/46,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),6065,"4230-4000 calBCE (5285±29 BP, OxA-18599)",C / EN,Armenia_C,Armenia_C,Yes,Areni 1,Armenia,West Asia,39.73,45.2,M,K1a8,L1a1,manual,2.963,812657,..,..,S1632.E1.L1,half,0.067,0.994,PASS (Xcontam=0.005)
I1409,I1409,ARE20,..,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),6057,"4229-3985 calBCE (5260±30 BP, Poz-81110)",C / EN,Armenia_C,Armenia_C,Yes,Areni 1,Armenia,West Asia,39.73,45.2,F,U4a,n/a (female),n/a (female),0.083,92184,n/a (female),n/a (female),S1409.E1.L1,half,0.052,0.996,PASS
I5766,I5766,"Tomsk10, inventory number 3079, burial 1",petrous,separate nuclear and mtDNA target enrichment,"4230-3983 calBCE (5261±33 BP, OxA-33486)",This study,"Sergey Mikhailovich Slepchenko, Anatoly Nikolaevich Bagashev, Dmitry Enshin",6057,"4230-3983 calBCE (5261±33 BP, OxA-33486)",N,WSHG,Sosonivoy_HG,Yes,"Siberia, Sosnoviy Ostrov",Russia,Forest / Steppe,57.35888889,65.365,F,U5a2b1,n/a (female),n/a (female),1.761,625559,n/a (female),n/a (female),S5766.E1.L1,half,0.084,0.997,PASS
I1407,I1407,ARE12.1,tooth (molar),separate nuclear and mtDNA target enrichment,no 14C date,LazaridisNature2016,n/a (previously reported),5875,4350-3500 BCE,C / EN,Armenia_C,Armenia_C,Yes,Areni 1,Armenia,West Asia,39.73,45.2,M,H,L1a1,manual,2.164,791878,..,..,S1407.E1.L1,half,0.063,0.999,PASS (Xcontam=0.003)
I1674,I1674,SG21,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),5836,"3972-3800 calBCE (5105±35 BP, Poz-81108)",C / EN,Seh_Gabi_C,Seh_Gabi_C,Yes,Seh Gabi,Iran,Iran / Turan,34.5,47.96,M,I1c,G1a,manual,0.915,624951,..,..,S1674.E1.L1,half,0.116,0.998,PASS (Xcontam=0.009)
I1665,I1665,SG19,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),5826,"3956-3796 calBCE (5070±30 BP, Poz-81106)",C / EN,Seh_Gabi_C,Seh_Gabi_C,Yes,Seh Gabi,Iran,Iran / Turan,34.5,47.96,F,U7a,n/a (female),n/a (female),1.477,730012,n/a (female),n/a (female),S1665.E1.L1,half,0.081,1,PASS
I1584,I1584,"M10-111, UN_L11",petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),5776,"3943-3708 calBCE (5016±31 BP, OxA-32776)",C / EN,Anatolia_C,Anatolia_C,Yes,"Northwest Anatolia, Marmara, Barcın",Turkey,West Asia,40.3,29.56666667,F,K1a17,n/a (female),n/a (female),6.452118,966697,n/a (female),n/a (female),"S1584.E1.L1,S1584.E1.L3,S1584.E1.L2,S5431.E1.L1,S5432.E1.L1,S5395.E1.L1","half,half,half,half,half,half","0.131,0.202,0.192,..,..,0.089","0.999,0.995,1,0.847,1,1",QUESTIONABLE (mtcontam=0.847-1)
I3151_published,I3151,6 V6a-H6,tooth and bone (cranial),separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2018,n/a (previously reported),5750,4000-3600 BCE,C / EN,Tripolye,Tripolye,Yes,Verteba Cave,Ukraine,Europe,48.7225,25.880833,M,U8b1b,E,manual,0.029,34031,..,..,S3206.E1.L1,half,0.136,0.96,PASS
I1926,I1926,1V1a-H1,tooth,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),5736,"3931-3640 calBCE [3705-3640 calBCE (4890±30 BP, Beta-432808), 3931-3670 calBCE (4985±30 BP, OxA-25991)]",C / EN,Tripolye,Tripolye,Yes,Verteba Cave,Ukraine,Europe,48.7225,25.880833,M,H5a,G2a2b2a,manual,0.211,219791,..,..,S1926.E1.L2,half,0.085,1,PASS (Xcontam=0.046 andXcontamZ=1.3)
I2110,I2110,4.V4a-H4,bone (cranial),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),5735,"3911-3659 calBCE (4976±33 BP, OxA-26203)",C / EN,Tripolye,Tripolye,Yes,Verteba Cave,Ukraine,Europe,48.7225,25.880833,M,T2b,G2a2b2a,manual,0.154,164691,..,..,S2110.E1.L1,half,0.087,0.991,PASS
I4089,I4089,URZI48,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),5653,"3761-3645 calBCE (4915±25 BP, PSUAMS-1746)",C / EN,Romania_C,Romania_C,Yes,Urziceni,Romania,Europe,47.7467,22.395,M,J1c,C1a2a,manual,3.077,784776,..,..,S4089.E1.L1,half,0.107,0.997,PASS (Xcontam=0.012)
I2111_published,I2111,5.V5a-H5,bone (cranial),separate nuclear and mtDNA target enrichment,previously published 14C date,MathiesonNature2018,n/a (previously reported),5647,"3758-3636 calBCE (4888±32 BP, OxA-26204)",C / EN,Tripolye,Tripolye,Yes,Verteba Cave,Ukraine,Europe,48.7225,25.880833,M,HV,G2a,manual,0.054,62041,..,..,S2111.E1.L1,half,0.113,0.972,PASS
I2918,I2918,"TH16-2, 33-16-2, Period 1",bone (phalanx),separate nuclear and mtDNA target enrichment,"3702-3536 calBCE (4850±30 BP, PSUAMS-2228)",This study,Janet Monge,5569,"3702-3536 calBCE (4850±30 BP, PSUAMS-2228)",C / EN,Tepe_Hissar_C,Tepe_Hissar_C,Yes,Tepe Hissar,Iran,Iran / Turan,36.15444444,54.38361111,F,U7,n/a (female),n/a (female),0.039684,45366,n/a (female),n/a (female),"S2918.E1.L1,S2918.E1.L2,S2918.E1.L3","half,half,half","..,0.052,0.016","0.974,0.973,..",QUESTIONABLE (damage=0.016-0.052)
I6677,I6677,"BILI_4, National Museum No. P7A 7558",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Petr Veleminsky, Miroslav Dobeš",5550,3800-3400 BCE,MLBA,Bilina_N_Baalberge,Bilina_N_Baalberge,Yes,"Bílina, Titzler's  sandpit",Czech Republic,Europe,50.5528285,13.7868857,M,T2b,H2,automatic,3.488173,873182,0.004923,4.49419534,S6677.E1.L1,half,0.098,0.99,PASS (Xcontam=0.005)
I2921,I2921,"TH16-11, 33-16-11, Period 1",bone (phalanx),separate nuclear and mtDNA target enrichment,"3656-3526 calBCE (4820±30 BP, PSUAMS-1912)",This study,Janet Monge,5541,"3656-3526 calBCE (4820±30 BP, PSUAMS-1912)",C / EN,Tepe_Hissar_C,Tepe_Hissar_C,Yes,Tepe Hissar,Iran,Iran / Turan,36.15444444,54.38361111,F,J1d,n/a (female),n/a (female),0.175461,180658,n/a (female),n/a (female),"S2921.E1.L1,S2516.E1.L2(library.flipped.with.S2921.E1.L2.manually.reassigned.to.I2921)","half,half","0.04,0.047","1,0.991",PASS
I2337,I2337,"TH23-9, 33-23-9, Period 1",tooth (molar),separate nuclear and mtDNA target enrichment,"3641-3519 calBCE (4780±30 BP, PSUAMS-1919)",This study,Janet Monge,5530,"3641-3519 calBCE (4780±30 BP, PSUAMS-1919)",C / EN,Tepe_Hissar_C,Tepe_Hissar_C,Yes,Tepe Hissar,Iran,Iran / Turan,36.15444444,54.38361111,M,I1,J2a1h2,automatic,0.673423,521911,0.001781,0.549858013,"S2337.E1.L2,S2337.E1.L4,S2337.E1.L5","half,half,half","0.084,0.087,0.087","0.991,0.998,0.995",PASS
I4910,I4910,"UZ-SZ-002, Sarazm 85 (2), 44-37",petrous,separate nuclear and mtDNA target enrichment,"3636-3521 calBCE (4765±20 BP, PSUAMS-2624)",This study,Michael Frachetti,5529,"3636-3521 calBCE (4765±20 BP, PSUAMS-2624)",C / EN,Sarazm_EN,Sarazm_EN,Yes,Sarazm,Tajikistan,Iran / Turan,39.50722222,67.46083333,F,J1d,n/a (female),n/a (female),2.026,783119,n/a (female),n/a (female),S4910.E1.L1,half,0.1,0.995,PASS
I2335,I2335,"TH16-4, 33-16-4, Period 1",bone (phalanx),separate nuclear and mtDNA target enrichment,"3639-3385 calBCE (4760±25 BP, PSUAMS-2346)",This study,Janet Monge,5462,"3639-3385 calBCE (4760±25 BP, PSUAMS-2346)",C / EN,Tepe_Hissar_C_LowCov,Tepe_Hissar_C_LowCov,No,Tepe Hissar,Iran,Iran / Turan,36.15444444,54.38361111,M,U1a'c,H3,automatic,0.007056,8442,n/a (<200 SNPs),n/a (<200 SNPs),"S2335.E1.L2,S2335.E1.L4","half,half","..,..","0.921,0.938",QUESTIONABLE (mtcontam=0.921-0.938)
I7272,I7272,BRAN_23,petrous,separate nuclear and mtDNA target enrichment,"3630-3377 calBCE (4715±20 BP, PSUAMS-4239)",OlaldeNature2018,n/a (previously reported),5454,"3630-3377 calBCE (4715±20 BP, PSUAMS-4239)",C / EN,Brandysek_N,Brandysek_N,Yes,Brandysek,Czech Republic,Europe,50.19,14.158,M,K2a5,I2a2a2,manual,3.646946,773560,..,..,S7272.E1.L1,half,0.07,1,PASS (Xcontam=0.005)
BOT2016.SG,BOT2016,Botai 2016 ,..,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,DamgaardScience2018,n/a (previously reported),5450,"3632-3368 calBCE (4695±50 BP, UBA-32666)",N,Botai.SG,Botai.SG,Yes,Botai,Kazakhstan,Forest / Steppe,53.305983,67.648166,F,Z1a,n/a (female),n/a (female),13.6,1149684,n/a (female),n/a (female),..,minus,..,..,PASS
I4635,I4635,"StPet14, site II, grave K-167, individual 4",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Vyacheslav Moiseyev, Andrey Gromov",5450,3700-3300 BCE,C / EN,Parkhai_Anau_EN,Parkhai_EN,Yes,Parkhai II,Turkmenistan,Iran / Turan,38.348048,56.24543,F,HV13b,n/a (female),n/a (female),3.813,782514,n/a (female),n/a (female),S4635.E1.L1,half,0.102,0.986,PASS
I4085,I4085,ANAU1,petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Coppa, Alfredo",5450,4000-3000 BCE,C / EN,Parkhai_Anau_EN,Tepe_Anau_EN,Yes,"Turkestan, Tepe Anau",Turkmenistan,Iran / Turan,37.872,58.225,M,H13a2a,R2a3a,automatic,1.294,659729,0.016002,4.741046763,S4085.E1.L1,half,0.111,0.992,PASS (Xcontam=0.016)
I4086,I4086,ANAU2,petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Coppa, Alfredo",5450,4000-3000 BCE,C / EN,Parkhai_Anau_EN,Tepe_Anau_EN,Yes,"Turkestan, Tepe Anau",Turkmenistan,Iran / Turan,37.872,58.225,F,U1a1d,n/a (female),n/a (female),1.995,721350,n/a (female),n/a (female),S4086.E1.L1,half,0.122,0.991,PASS
I4087,I4087,ANAU3,petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,"Coppa, Alfredo",5450,4000-3000 BCE,C / EN,Parkhai_Anau_EN,Tepe_Anau_EN,Yes,"Turkestan, Tepe Anau",Turkmenistan,Iran / Turan,37.872,58.225,M,W3a1,R2a,automatic,2.902,803294,0.011166,7.053245497,S4087.E1.L1,half,0.11,0.989,PASS (Xcontam=0.011)
I4290,I4290,"UZ-SZ-001, Sarazm 85 (1), 44-38",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Michael Frachetti,5450,3700-3300 BCE,C / EN,Sarazm_EN,Sarazm_EN,Yes,Sarazm,Tajikistan,Iran / Turan,39.50722222,67.46083333,F,..,n/a (female),n/a (female),0.525986,445719,n/a (female),n/a (female),"S4290.E1.L1,S4290.E1.L2,S4290.E1.L3,S4290.E1.L4,S4290.E1.L5","half,half,half,half,half","0.138,0.12,0.131,0.118,0.106","0.898,0.945,0.997,0.952,0.964",QUESTIONABLE (mtcontam=0.898-0.997)
BOT14.SG,BOT14,"Botai Excavation 14, 1983",..,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,DamgaardScience2018,n/a (previously reported),5264,"3518-3109 calBCE (4598±46 BP, UBA-32662)",N,Botai.SG,Botai.SG,Yes,Botai,Kazakhstan,Forest / Steppe,53.305983,67.648166,M,K1b2,R1b1a1a1,automatic,3.7,1114698,..,..,..,minus,..,..,PASS
I2369,I2369,GEN15a,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LipsonNature2017,n/a (previously reported),5185,"3367-3103 calBCE (4545±35 BP, Poz-83634)",C / EN,Baden_LCA,Baden_LCA,Yes,"Budakalász, Luppa csárda",Hungary,Europe,47.62094,19.04494,M,J2a1a1,G2a2b2a1a1c1a,manual,1.664,758484,..,..,S2369.L1,half,0.083,0.977,PASS (Xcontam=0.010)
I2763,I2763,Vors1,tooth (molar),separate nuclear and mtDNA target enrichment,previously published 14C date,LipsonNature2017,n/a (previously reported),5182,"3360-3103 calBCE (4528±31 BP, DeA-14662)",C / EN,Baden_LCA,Baden_LCA,Yes,Vörs,Hungary,Europe,46.665765,17.270774,F,T2f,n/a (female),n/a (female),0.025,29086,n/a (female),n/a (female),S2763.L1,half,0.125,..,PASS
DA380_final.SG,DA380,"Excavation 1, burial 42, 6286-37",tooth,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,DamgaardScience2018,n/a (previously reported),5181,"3364-3097 calBCE (4528±40 BP, UBA-33659)",C / EN,Namazga_CA.SG,Namazga_CA.SG,Yes,Kara-Depe,Turkmenistan,Iran / Turan,37.60098,59.328411,F,U2b,n/a (female),n/a (female),0.5,323589,n/a (female),n/a (female),..,minus,..,..,PASS
DA381_final.SG,DA381,"Excavation 2, room 18, near tolos B, 6286-89",petrous,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,DamgaardScience2018,n/a (previously reported),5181,"3365-3097 calBCE (4530±40 BP, UBA-33660)",C / EN,Namazga_CA.SG,Namazga_CA.SG,Yes,Geoksyur,Turkmenistan,Iran / Turan,37.1907,61.0343,M,J1+16193,J2,automatic,0.8,447009,..,..,..,minus,..,..,PASS
I2371,I2371,GEN17a,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LipsonNature2017,n/a (previously reported),5179,"3359-3098 calBCE (4520±35 BP, Poz-83635)",C / EN,Baden_LCA,Baden_LCA,Yes,Alsonemedi,Hungary,Europe,47.31875,19.16692,M,U5b3f,G2a2a,manual,0.823,546806,..,..,S2371.L1,half,0.134,0.985,PASS (Xcontam=0.013)
I2755,I2755,GEN24,petrous,separate nuclear and mtDNA target enrichment,no 14C date,LipsonNature2017,n/a (previously reported),5175,3600-2850 BCE,C / EN,Baden_LCA,Baden_LCA,Yes,"Balatonlelle, Fels-Gamász",Hungary,Europe,46.78469,17.731714,M,U8b1a1,I,manual,0.037,42687,..,..,S2755.L1,half,0.226,..,PASS
